title,modules,taught by,hours,lessons
JavaScript: The Advanced Concepts,"['Introduction', 'JavaScript Foundation', 'Javascript Foundation II', 'Types in JavaScript', 'The 2 Pillars: Closures and Prototypal Inheritance', 'Object Oriented Programming', 'Functional Programming', 'OOP vs FP', 'Asynchronous JavaScript', 'Modules in JavaScript', 'Error Handling', 'Thank You', 'Bonus: Data Structures In JavaScript', 'Appendix I: Javascript Basics', 'Appendix II: Intermediate  Javascript', 'Bonus: Extra Bits']",['Andrei Neagoie'],25.5,228
The Complete Guide to Freelancing in 2022: Zero to Mastery,"['Getting Started', 'Profile Module - Building a Rockstar Freelance Profile', 'Deals Module - Finding & Closing High-Ticket Clients', 'Growth Module - Managing & Scaling Your Freelance Business', 'Skills Module - Profitable Freelance Skills', 'Success Module - Setting Yourself Up For Freelance Success', 'Mindset Module - Developing a Millionaire Mindset', 'Where To Go From Here?']",['Paul Mendes'],10.0,53
Complete Ethical Hacking Bootcamp 2022: Zero to Mastery,"['Introduction', 'Setting Up Our Hacking Lab', 'Linux Operating System', 'Reconnaissance & Information Gathering', 'Scanning', 'Python Coding Project #1 - Portscanner', 'Vulnerability Analysis', 'Exploitation & Gaining Access', 'SMBGhost CVE 2020-0796 - Windows 10 Manual Exploitation', 'Gaining Access (Viruses, Trojans, Payloads ...)', 'Post Exploitation - Elevating Privileges, Extracting Data, Running Keyloggers', 'Python Coding Project #2 - Backdoor', 'Website Application Penetration Testing', 'Python Coding Project #3 - Login Bruteforce, Directory Discovery', 'Man In The Middle - MITM', 'Bonus - Wireless Access Point Cracking', 'Bonus: Gaining Access To An Android Device', 'Extra: Introduction To Anonymity', 'Where To Go From Here?', 'Learn Python Basics', 'Learn Python Intermediate', 'Learn Python 3: Error Handling', 'Learn Python 4: File I/O']","['Andrei Neagoie', 'Aleksa Tamburkovski']",27.5,249
Complete Machine Learning and Data Science: Zero to Mastery,"['Introduction', 'Machine Learning 101', 'Machine Learning and Data Science Framework', 'The 2 Paths', 'Data Science Environment Setup', 'Pandas: Data Analysis', 'NumPy', 'Matplotlib: Plotting and Data Visualization', 'Scikit-learn: Creating Machine Learning Models', 'Supervised Learning: Classification + Regression', 'Milestone Project 1: Supervised Learning (Classification)', 'Milestone Project 2: Supervised Learning (Time Series Data)', 'Data Engineering', 'Neural Networks: Deep Learning, Transfer Learning and TensorFlow 2', 'Storytelling + Communication: How To Present Your Projects', 'Career Advice + Extra Bits', 'Learn Python', 'Learn Python Part 2', 'Bonus: Learn Advanced Statistics and Mathematics for FREE!', 'Where To Go From Here?']","['Andrei Neagoie', 'Daniel Bourke']",43.5,377
Complete Python Developer in 2022: Zero to Mastery,"['Introduction', 'Python Introduction', 'Python Basics', 'Python Basics 2', 'Developer Environment', 'Advanced Python: Object Oriented Programming', 'Advanced Python: Functional Programming', 'Advanced Python: Decorators', 'Advanced Python: Error Handling', 'Advanced Python: Generators', 'Modules In Python', 'Debugging In Python', 'File I/O', 'Regular Expressions', 'Testing In Python', 'Career Of A Python Developer', 'Scripting With Python', 'Scraping Data with Python', 'Web Development with Python', 'Automation/Testing', 'Machine Learning + Data Science', 'Where To Go From Here?', 'Bonus: Extra Bits', 'Bonus: HTML Forms']",['Andrei Neagoie'],30.5,332
"Complete React Developer in 2022 (w/ Redux, Hooks, GraphQL)","['Introduction', 'React Key Concepts', 'React Basics', 'Master Project: Setting Up E-commerce Project', 'Master Project: React Router and Routing', 'Master Project: Forms + Components', 'Master Project: Firebase + User Authentication', 'Master Project: Redux 1', 'Master Project: Session Storage + Persistence', 'Master Project: Redux 2', 'Master Project: Advanced Routing', 'Master Project: State Normalization', 'Master Project: Stripe Payments Part 1', 'Master Project: Deploying To Production', 'Master Project: CSS in JS - styled-components', 'Master Project: Advanced Redux + Firebase', 'Master Project: HOC Patterns', 'Master Project:  Asynchronous Redux', 'Master Project: Container Pattern', 'Master Project: Redux-Saga', 'Master Project: React Hooks', 'Master Project: Advanced React Hooks', 'Master Project: Stripe Payments Part 2 - Backend', 'Master Project: Context API', 'Master Project: GraphQL + Apollo', 'Master Project: Mobile Support', 'Master Project: React Performance', 'React Interview Questions + Advice', 'Bonus: Progressive Web App', 'Bonus: Firebase Security', 'Bonus: Testing', 'Bonus: Webpack + Babel', 'Bonus: Build a GatsbyJS Blog', 'Appendix 1: Key Developer Concepts', 'Open Source Projects', 'AMA + Bonus']","['Andrei Neagoie', 'Yihua Zhang']",42.5,380
Complete SQL + Databases Bootcamp: Zero to Mastery [2022],"['Introduction', 'History And Story Of Data', 'Databases + SQL Fundamentals', 'Environment Setup', 'SQL Deep Dive', 'Advanced SQL', 'Database Management', 'Solving The Mystery', 'Database Design', 'Database Landscape, Performance and Security', 'Where To Go From Here?', 'Bonus: Data Engineering (And the role of Machine Learning)', 'Bonus: Redis', 'Extra Bits: Databases In A Web App (with Node.js)']","['Andrei Neagoie', 'Mo Binni']",24.5,278
"Complete Web & Mobile Designer in 2022: UI/UX, Figma + more","['Introduction', 'Section 1: GETTING STARTED - Sketching, Inspiration, User Flows', 'Sketching', 'Inspiration', 'Introduction To Figma', 'User Flows', 'Sitemaps', 'Section 2: EXPLORE & ITERATE - Wireframes, Prototyping, and Feedback', 'Wireframes', 'Prototyping', 'Feedback', 'Section 3: VISUAL DESIGN - Design Theory + Accessibility', 'Spacing and The Grid', 'Typography', 'Color', 'Forms + UI Elements', 'Visual Assets', 'Accessibility', 'Section 4: DESIGN EXPLORATION - Application Design + Design Systems', 'Design Patterns', 'Mobile Design', 'Visual Style + Exploration', 'Motion', 'Microinteractions', 'Section 5: PUTTING IT ALL TOGETHER – Design Systems and Final Compositions', 'Design Systems', 'Final Compositions', 'Working With A Client Revisited', 'Where To Go From Here?', 'Web Portfolio', 'From Figma To Website: Building Our Landing Page', 'Bonus: How The Internet Works', 'Bonus: History Of The Web', 'Bonus: HTML 5', 'Bonus: CSS 3', 'Bonus: Bootstrap, Templates, And Building Your Startup Landing Page', 'Bonus: CSS Grid + CSS Layout']","['Andrei Neagoie', 'Daniel Schifano']",26.0,264
The Complete Web Developer in 2022: Zero to Mastery,"['Introduction', 'How The Internet Works', 'History Of The Web', 'HTML5', 'Advanced HTML 5', 'CSS', 'Advanced CSS', 'Bootstrap, Templates, And Building Your Startup Landing Page', 'CSS Grid + CSS Layout', 'Career Of A Web Developer', 'JavaScript', 'DOM Manipulation', 'Advanced JavaScript', 'Command Line', 'Developer Environment', 'Git + Github + Open Source Projects', 'A Day In The Life Of A Developer', 'NPM + NPM Scripts', 'React.js, React Hooks, Redux (Hooks and Redux videos moved to end of course!)', 'HTTP/JSON/AJAX + Asynchronous Javascript', 'Backend Introduction', 'APIs', 'FINAL PROJECT: SmartBrain Front-End', 'Node.js + Express.js', 'FINAL PROJECT: SmartBrain Back-End -- Server', 'Databases', 'FINAL PROJECT: SmartBrain Back-End -- Database', 'Production + Deployment', 'Where To Go From Here?', 'Bonus: Extra Bits', 'Extra Learning: React Hooks', 'Optional Extra Learning: Redux', 'Extra: For Windows Users']",['Andrei Neagoie'],38.0,383
Deno: The Complete Guide Zero to Mastery,"['Introduction', 'Deno Foundations', 'Deno vs Node', 'Deno Modules And Tooling', 'TypeScript?', 'Deno File I/O - Planets Project', 'Exercise: SpaceX Launch Data', 'NASA Project: Deno For Backend Development', 'NASA Project: Deno Production And The Cloud (Docker + AWS)', 'Where To Go From Here?', 'Bonus: How JavaScript Works', 'Bonus: Learning TypeScript', 'Bonus: HTTP, AJAX, JSON and APIs']","['Andrei Neagoie', 'Adam Odziemkowski']",13.5,174
